Model,File,Clone Method,Clone Type,Detect,Use Fallback,Success Iteration Number,Compile,Test,Usefulness
Deepseek v3.2,helper.java,getDrawingView,Type 2(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,drawapplet,init,Type 1(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,FigureAttributeConstant,addConstant,Type 1(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,drawapplet,createAttributeConstant,Type 1(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,nothingapplet,createTools,Type 1(a),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,CompositeFigureCreationTool,mouseDown,Type 1(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,ChopDiamondConnector,chop,Type 1(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,MiniMapDesktop,createLeftComponent,Type 1(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,Animator,run,Type 1(b),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,CTXWindowMenu,buildChildMenus,Type 1(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,ColorMap,colorIndex,Type 1(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,BouncingDrawing,animationStep,Type 1(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,PertDependency,handleConnect,Type 1(c),Yes,no,2,yes,yes,incomplete refactoring -> yes
Deepseek v3.2,AutoscrollHelper,getAutoscrollInsets,Type 2(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,Geom ,direction,Type 2(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,JHDDropTargetListener,dragOver,Type 2(a),Yes,no,2,yes,yes,incomplete refactoring -> yes
Deepseek v3.2,StandardLayouter,layout,Type 2(a),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,LineConnection,basicMoveBy,Type 2(b),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,Triangle Figure,rotate,Type 2(b),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,SplitPaneDesktop,removeFromDesktop,Type 2(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,DNDHelper,createDragGestureRecognizer,Type-3(e),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,DragNDropTool,setCursor,Type-3(c),Yes,no,3,yes,yes,2 incomplete refactoring -> yes
Deepseek v3.2,JHDDragSourceListener,dragEnter,Type-3(e),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,ColorContentProducer,read,Type-3(c),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,CustomToolBar,activateTools,Type-3(d),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,FloatingTextArea,endOverlay,Type-3(c),Yes,no,2,yes,yes,incomplete refactoring -> yes
Deepseek v3.2,MiniMapView,paint,Type-3(c),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,PolygonFigure,basicDisplayBox,Type-3(c),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,SimpleLayouter,calculateLayout,Type-3(c),Yes,no,2,yes,yes,incomplete refactoring -> yes
Deepseek v3.2,DragTracker,mouseDrag,Type-3(e),Yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,JPanelDesktop,createContents,Type-3(a),Yes,no,2,yes,yes,incomplete refactoring -> yes
Deepseek v3.2,MDI_DrawApplication,newView,Type-3(a),Yes,no,2,yes,yes,incomplete refactoring -> yes
Deepseek v3.2,PolygonTool,deactivate,Type-3(a),Yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,SVGStorageFormat,store,Type-3(a),Yes,no,no,,,"2 call-based clone substitution, 1 incomplete refactoring"
Deepseek v3.2,TriangleRotationHandle,getOrigin,Type-3(d),Yes,no,1,yes,yes,yes
Deepseek v3.2,ElbowHandle,invokeStep,Type-3(d),Yes,no,2,yes,yes,incomplete refactoring -> yes
Deepseek v3.2,ScribbleTool,point,Type-2(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,URLTool,beginEdit,Type-3(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,NodeFigure,drawBorder,Type-3(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,PertFigure,drawBorder,Type-3(b),Yes,no,2,yes,yes,incomplete refactoring -> yes
Deepseek v3.2,BufferedUpdateStrategy,draw,Type-2(d),Yes,no,1,yes,yes,yes
Deepseek v3.2,ChangeConnectionHandle,findConnectableFigure,Type-3(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,FigureAndEnumerator,nextFigure,Type-1(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,HandleAndEnumerator,nextHandle,Type-1(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,LocatorConnector,displayBox,Type-1(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,LocatorHandle,getCursor,Type-1(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,StandardFigureSelection,getData,Type-1(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,ToggleGridCommand,execute,Type-1(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,CommandMenu,actionPerformed,Type-2(d),Yes,no,1,yes,yes,yes
Deepseek v3.2,PaletteLayout,layoutContainer,Type-2(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,SerializationStorageFormat,restore,Type-1(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,StandardVersionControlStrategy,assertCompatibleVersion,Type-1(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,RoundRectangleGeometricAdapter,getShape,Type-2(a),Yes,no,2,yes,yes,incomplete refactoring -> yes
Deepseek v3.2,ScalingGraphics,scaledShape,Type-2(d),Yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,ZoomDrawingView,setScale,Type-2(d),Yes,no,1,yes,yes,yes
Deepseek v3.2,CTXCommandMenu,checkEnabled,Type-2(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,MySelectionTool,mouseDown,Type-2(b),Yes,no,2,yes,yes,incomplete refactoring -> yes
Deepseek v3.2,PatternPainter,drawPattern,Type-2(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,SelectAreaTracker,drawXORRect,Type-2(a),Yes,no,2,yes,yes,call-based clone substitution -> yes
Deepseek v3.2,Bounds,intersectsBounds,Type-2(a),Yes,no,no,,,3 incomplete refactoring
,,,,,,,,,
Gemini 3 pro,helper.java,getDrawingView,Type 2(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,drawapplet,init,Type 1(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,FigureAttributeConstant,addConstant,Type 1(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,drawapplet,createAttributeConstant,Type 1(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,nothingapplet,createTools,Type 1(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,CompositeFigureCreationTool,mouseDown,Type 1(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,ChopDiamondConnector,chop,Type 1(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,MiniMapDesktop,createLeftComponent,Type 1(b),Yes,no,2,yes,yes,incomplete refactoring -> yes
Gemini 3 pro,Animator,run,Type 1(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,CTXWindowMenu,buildChildMenus,Type 1(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,ColorMap,colorIndex,Type 1(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,BouncingDrawing,animationStep,Type 1(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,PertDependency,handleConnect,Type 1(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,AutoscrollHelper,getAutoscrollInsets,Type 2(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,Geom ,direction,Type 2(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,JHDDropTargetListener,dragOver,Type 2(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,StandardLayouter,layout,Type 2(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,LineConnection,basicMoveBy,Type 2(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,Triangle Figure,rotate,Type 2(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,SplitPaneDesktop,removeFromDesktop,Type 2(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,DNDHelper,createDragGestureRecognizer,Type-3(e),Yes,no,no,,,3 incomplete refactoring
Gemini 3 pro,DragNDropTool,setCursor,Type-3(c),Yes,no,2,yes,yes,incomplete refactoring -> yes
Gemini 3 pro,JHDDragSourceListener,dragEnter,Type-3(e),Yes,no,1,yes,yes,yes
Gemini 3 pro,ColorContentProducer,read,Type-3(c),Yes,no,2,yes,yes,incomplete refactoring -> yes
Gemini 3 pro,CustomToolBar,activateTools,Type-3(d),Yes,no,2,yes,yes,incomplete refactoring -> yes
Gemini 3 pro,FloatingTextArea,endOverlay,Type-3(c),Yes,no,2,yes,yes,incomplete refactoring -> yes
Gemini 3 pro,MiniMapView,paint,Type-3(c),Yes,no,3,yes,yes,2 incomplete refactoring -> yes
Gemini 3 pro,PolygonFigure,basicDisplayBox,Type-3(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,SimpleLayouter,calculateLayout,Type-3(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,DragTracker,mouseDrag,Type-3(e),Yes,no,2,yes,yes,incomplete refactoring -> yes
Gemini 3 pro,JPanelDesktop,createContents,Type-3(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,MDI_DrawApplication,newView,Type-3(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,PolygonTool,deactivate,Type-3(a),Yes,no,2,yes,yes,incomplete refactoring -> yes
Gemini 3 pro,SVGStorageFormat,store,Type-3(a),Yes,no,1,yes,yes,yes
